word,length,entropy
afdrive,7,2.8073549220576046
afdrivning,10,2.9219280948873623
afdrypning,10,3.1219280948873624
afdryppe,8,2.75
afdække,7,2.5216406363433186
afdækning,9,2.94770277922009
afdæmpe,7,2.8073549220576046
afdæmpet,8,3.0
afdæmpning,10,3.1219280948873624
afdød,5,1.9219280948873623
affabel,7,2.2359263506290326
affald,6,1.9182958340544893
affaldshåndtering,17,3.6168746059562227
affaldskværn,12,3.2516291673878226
affaldsskakt,12,2.688721875540867
affaldsstof,11,2.663532754804255
affarve,7,2.2359263506290326
affarvning,10,2.721928094887362
affatte,7,1.950212064914747
affattelse,10,2.521928094887362
affede,6,1.9182958340544893
affedning,9,2.725480556997868
affedte,7,2.2359263506290326
affedtning,10,2.9219280948873623
affeje,6,1.9182958340544893
affejning,9,2.725480556997868
affekt,6,2.2516291673878226
affektation,11,2.9139770731827523
affekteret,10,2.4464393446710155
affektion,9,2.94770277922009
affektionsværdi,15,3.640223928941851
affektiv,8,2.75
afficere,8,2.5
affinde,7,2.5216406363433186
affindelsessum,14,3.182005814760214
affinitet,9,2.5032583347756456
affirmation,11,2.9139770731827523
affirmativ,10,2.721928094887362
affjedre,8,2.5
affjedring,10,3.121928094887362
afflade,7,2.2359263506290326
affladning,10,2.721928094887362
affodre,7,2.5216406363433186
affodring,9,2.94770277922009
affolke,7,2.5216406363433186
affolkning,10,2.9219280948873623
affordre,8,2.5
affordring,10,2.9219280948873623
affotografere,13,2.7192945256669794
affotografering,15,3.0565647621309537
affugte,7,2.5216406363433186
affugter,8,2.75
affugtning,10,2.7219280948873625
affutage,8,2.5
affyre,6,2.2516291673878226
affyring,8,2.75
affældig,8,2.75
affærdige,9,2.94770277922009
affærdigelse,12,3.2516291673878226
affære,6,2.2516291673878226
afføde,6,2.2516291673878226
affødning,9,2.725480556997868
afføre,6,2.2516291673878226
afførelse,9,2.725480556997868
afførende,9,2.725480556997868
afføring,8,2.75
afgang,6,1.9182958340544893
afgangseksamen,14,2.8962915290459286
afgangshal,10,2.6464393446710153
afgangsklasse,13,2.8150724101159437
afgangsprøve,12,3.2516291673878226
afgasning,9,2.5032583347756456
afgasse,7,2.2359263506290326
afghaner,8,2.75
Afghanistan,11,3.0957952550009344
afghansk,8,2.75
afgift,6,2.2516291673878226
afgifte,7,2.5216406363433186
afgiftning,10,2.5219280948873624
afgive,6,2.584962500721156
afgivelse,9,2.94770277922009
afgivning,9,2.503258334775646
afgjort,7,2.8073549220576046
afglans,7,2.5216406363433186
afglatning,10,2.7219280948873625
afglatte,8,2.5
afglidende,10,2.9219280948873623
afgnave,7,2.5216406363433186
afgnavning,10,2.446439344671015
afgnide,7,2.8073549220576046
afgnidning,10,2.4464393446710155
afgrate,7,2.5216406363433186
afgrave,7,2.5216406363433186
afgravning,10,2.7219280948873625
afgrene,7,2.5216406363433186
afgrening,9,2.725480556997868
afgrund,7,2.8073549220576046
afgrundsdyb,11,3.2776134368191165
afgrænse,8,3.0
afgrænselig,11,3.2776134368191165
afgrænsning,11,2.845350936622437
afgræsning,10,2.9219280948873623
afgræsse,8,2.75
afgrøde,7,2.8073549220576046
afgrøfte,8,2.75
afgrøftning,11,2.9139770731827523
afgud,5,2.321928094887362
afguderi,8,3.0
afgøre,6,2.584962500721156
afgørelse,9,2.94770277922009
afgørende,9,2.94770277922009
afgå,4,2.0
afhandle,8,2.75
afhandling,10,2.9219280948873623
afhaspe,7,2.5216406363433186
afhaspning,10,2.9219280948873623
afhente,7,2.5216406363433186
afhentning,10,2.846439344671015
afhjemle,8,2.75
afhjemling,10,3.321928094887362
afhjælpe,8,3.0
afhjælpning,11,3.277613436819116
afholde,7,2.8073549220576046
afholdelse,10,2.9219280948873623
afholdende,10,2.9219280948873623
afholdenhed,11,2.9139770731827523
afholdsbevægelse,16,3.452819531114783
afholdsforening,15,3.5068905956085183
afholdsmand,11,3.0957952550009344
afholdt,7,2.8073549220576046
afhopning,9,2.94770277922009
afhopper,8,2.75
afhorne,7,2.8073549220576046
afhorning,9,2.94770277922009
afhude,6,2.584962500721156
afhudning,9,2.94770277922009
afhugge,7,2.5216406363433186
afhugning,9,2.725480556997868
afhænde,7,2.8073549220576046
afhændelse,10,3.1219280948873624
afhænge,7,2.8073549220576046
afhængig,8,2.75
afhængighed,11,3.0957952550009344
afhængighedsfald,16,3.375
afhærde,7,2.8073549220576046
afhærdning,10,3.1219280948873624
afhøre,6,2.584962500721156
afhøring,8,3.0
afhøste,7,2.8073549220576046
afhøstning,10,3.1219280948873624
afhøvle,7,2.8073549220576046
afhøvling,9,3.169925001442312
aficionado,10,2.721928094887362
afideologisere,14,3.182005814760214
afideologisering,16,3.327819531114783
afindustrialisere,17,3.3371753411230776
afindustrialisering,19,3.405822250285692
afinstallation,14,2.8962915290459286
afinstallere,12,3.084962500721156
afinstallering,14,3.2359263506290334
afise,5,2.321928094887362
afisning,8,2.5
afkald,6,2.2516291673878226
afkalke,7,2.2359263506290326
afkalkning,10,2.721928094887362
afkast,6,2.2516291673878226
afkaste,7,2.5216406363433186
afkastning,10,2.9219280948873623
afklapse,8,2.75
afklapsning,11,3.0957952550009344
afklare,7,2.5216406363433186
afklaret,8,2.75
afklaring,9,2.94770277922009
afklæde,7,2.8073549220576046
afklædning,10,3.1219280948873624
afkoble,7,2.8073549220576046
afkobling,9,3.169925001442312
afkode,6,2.584962500721156
afkoder,7,2.8073549220576046
afkodning,9,2.94770277922009
afkog,5,2.321928094887362
afkoge,6,2.584962500721156
afkogning,9,2.725480556997868
afkolonisere,12,3.2516291673878226
afkolonisering,14,3.3787834934861767
afkom,5,2.321928094887362
afkorte,7,2.8073549220576046
afkortelse,10,3.1219280948873624
afkorter,8,2.75
afkortning,10,3.1219280948873624
afkriminalisere,15,3.189898095464287
afkriminalisering,17,3.263933429485634
afkristne,9,3.169925001442312
afkristning,11,3.095795255000934
afkrog,6,2.584962500721156
afkrydse,8,3.0
afkrydsning,11,3.277613436819116
afkræfte,8,2.75
afkræftelse,11,3.0957952550009344
afkræftet,9,2.725480556997868
afkræve,7,2.8073549220576046
afkrævning,10,3.1219280948873624
afkviste,8,3.0
afkvistning,11,3.095795255000934
afkøle,6,2.584962500721156
afkøling,8,3.0
afkørsel,8,3.0
aflad,5,1.9219280948873623
aflade,6,2.2516291673878226
afladning,9,2.725480556997868
afladsbrev,10,3.121928094887362
aflagt,6,2.2516291673878226
aflang,6,2.2516291673878226
aflaste,7,2.5216406363433186
aflastning,10,2.9219280948873623
aflastningsfamilie,18,3.197159723424149
aflatoksin,10,3.121928094887362
aflede,6,2.251629167387823
afleder,7,2.5216406363433186
afledning,9,2.94770277922009
afledningsmanøvre,17,3.572469458770136
afledt,6,2.584962500721156
aflejre,7,2.5216406363433186
aflejring,9,3.169925001442312
aflevere,8,2.4056390622295662
aflevering,10,3.121928094887362
aflire,6,2.584962500721156
afliring,8,2.75
aflive,6,2.584962500721156
aflivning,9,2.725480556997868
aflokke,7,2.5216406363433186
aflokkelse,10,2.7219280948873625
aflukning,9,2.94770277922009
aflure,6,2.584962500721156
afluring,8,3.0
afluse,6,2.584962500721156
aflusning,9,2.94770277922009
aflyd,5,2.321928094887362
aflynelig,9,2.94770277922009
aflyse,6,2.584962500721156
aflysning,9,2.94770277922009
aflytning,9,2.94770277922009
aflytte,7,2.5216406363433186
aflægge,7,2.5216406363433186
aflæggelse,10,2.7219280948873625
aflæggeplads,12,3.0849625007211556
aflægger,8,2.75
aflægning,9,2.725480556997868
aflægs,6,2.584962500721156
aflære,6,2.584962500721156
aflæring,8,3.0
aflæse,6,2.584962500721156
aflæselig,9,2.94770277922009
aflæser,7,2.8073549220576046
aflæsse,7,2.5216406363433186
aflæsser,8,2.75
afløb,5,2.321928094887362
afløbsrør,9,2.725480556997868
aflønne,7,2.5216406363433186
aflønning,9,2.6416041678685933
afløse,6,2.584962500721156
afløser,7,2.8073549220576046
afløsning,9,2.94770277922009
afløve,6,2.584962500721156
afløvning,9,2.94770277922009
